"X","slug","num","lat","id","name","latest","num_maintainers","modified","created","license","readme","revisions","downloads","num_badges","stars","active_age","age","dependents","pr_makers","size","forks","contributors","num_prs","num_issues","commits","all_downloads","yearly_downloads","num_tools","dependencies","ght_age","hasBadge","hasQABadge","hasCovBadge","hasCIBadge","hasDepMgrBadge","hasInfoBadge","hasPopularityBadge","hasSupportBadge","hasOther"
68,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
69,"6to5/6to5",95,47,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
70,"6to5/6to5",95,54,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
71,"6to5/6to5",95,889,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
72,"6to5/6to5",95,7,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
73,"6to5/6to5",95,8,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
74,"6to5/6to5",95,2,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
75,"6to5/6to5",95,34,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
76,"6to5/6to5",95,42,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
77,"6to5/6to5",95,43,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
78,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
79,"6to5/6to5",95,1750,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
80,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
81,"6to5/6to5",95,1,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
82,"6to5/6to5",95,105,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
83,"6to5/6to5",95,607,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
84,"6to5/6to5",95,164,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
85,"6to5/6to5",95,623,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
86,"6to5/6to5",95,967,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
87,"6to5/6to5",95,169,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
88,"6to5/6to5",95,0,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
89,"6to5/6to5",95,169,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
90,"6to5/6to5",95,4,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
91,"6to5/6to5",95,2,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
92,"6to5/6to5",95,174,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
93,"6to5/6to5",95,107,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
94,"6to5/6to5",95,7,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
95,"6to5/6to5",95,619,372,"6to5","3.6.5",1,"2017-05-09 15:55:49","2014-10-01 01:07:27",NA,"README.md",257,5248,0,2994,31,33,38,54,287733,43,254,119,656,2857,560674,85089,10,23,35,1,1,1,1,1,1,1,1,TRUE
96,"720kb/angular-datepicker",9,5,26080,"angularjs-datepicker","2.1.23",1,"2017-06-28 06:51:21","2015-05-26 09:12:30","MIT","README.md",48,16644,1,392,25,25,0,42,38591,161,44,59,246,404,139551,119952,2,0,35,1,0,0,0,0,0,0,1,FALSE
97,"720kb/angular-datepicker",9,2,26080,"angularjs-datepicker","2.1.23",1,"2017-06-28 06:51:21","2015-05-26 09:12:30","MIT","README.md",48,16644,1,392,25,25,0,42,38591,161,44,59,246,404,139551,119952,2,0,35,1,0,0,0,0,0,0,1,FALSE
98,"720kb/angular-datepicker",9,0,26080,"angularjs-datepicker","2.1.23",1,"2017-06-28 06:51:21","2015-05-26 09:12:30","MIT","README.md",48,16644,1,392,25,25,0,42,38591,161,44,59,246,404,139551,119952,2,0,35,1,0,0,0,0,0,0,1,FALSE
99,"720kb/angular-datepicker",9,10,26080,"angularjs-datepicker","2.1.23",1,"2017-06-28 06:51:21","2015-05-26 09:12:30","MIT","README.md",48,16644,1,392,25,25,0,42,38591,161,44,59,246,404,139551,119952,2,0,35,1,0,0,0,0,0,0,1,FALSE
